Stock name,Start date,End date,Price at end,Label
VENKEYS,2025-04-07,2025-07-03,1604.26,Bad VCP
VINATIORGA,2026-04-13,2026-07-07,1354.8,Bad VCP
VOLTAS,2022-05-16,2022-07-14,969.2,Good VCP
VRAJ,2025-03-03,2025-04-03,165.26,Bad VCP
VRLLOG,2024-03-13,2024-04-25,271.82,Bad VCP
VRLLOG,2025-01-28,2025-04-22,236.76,Good VCP
VSSL,2023-08-16,2023-11-03,218.73,Bad VCP
VSSL,2026-03-30,2026-06-04,274.39,Bad VCP
VSTL,2025-03-12,2025-05-26,157.39,Bad VCP
VSTTILLERS,2025-03-03,2025-05-21,3745.25,Bad VCP
WAAREEENER,2025-04-07,2025-06-24,2969.53,Good VCP
WABAG,2026-01-27,2026-04-07,1257.83,Good VCP
WELSPUNLIV,2023-03-28,2023-07-14,101.8,Good VCP
WHEELS,2022-03-31,2022-06-30,598.03,Good VCP
WHIRLPOOL,2022-03-14,2022-05-02,1615.64,Bad VCP
WONDERLA,2025-02-28,2025-04-03,669.64,Bad VCP
YUKEN,2022-06-17,2022-08-18,454.4,Good VCP
YUKEN,2025-03-04,2025-04-03,820.42,Good VCP
ZAGGLE,2025-02-19,2025-04-03,357.85,Bad VCP
ZENTEC,2022-05-13,2022-07-26,171.19,Good VCP
ZYDUSLIFE,2022-05-11,2022-08-10,355.88,Good VCP
